Area,lat,long
Helsingin keskusta,60.1687409,24.9408947
Punavuori,60.1612371,24.9365046
Kaartinkaupunki,60.1652138,24.9472225
Kaivopuisto,60.1568425,24.9567212
Eira,60.1561911,24.9383747
Katajanokka,60.1669752,24.9681511
Kruununhaka,60.1728702,24.9547326
Ruoholahti,60.162925,24.9114974
Lauttasaari,60.1598277,24.8802101
Vattuniemi,60.1519453,24.8814639
Länsi-Pasila,60.1987008,24.9242542
Taka-Töölö,60.1853441,24.9167329
Keski-Töölö,60.1770298,24.9269274
Ruskeasuo,60.2048026,24.9056207
Meilahden sairaala-alue,60.1882499,24.908046617102734
Pikku-Huopalahti,60.202954,24.8941396
Kivihaka,60.2117279,24.9033992
Etelä-Haaga,60.2116151,24.8910918
Munkkiniemi,60.1990937,24.8743585
Kuusisaari-Lehtisaari,60.1814885,24.8509268
Munkkivuori-Niemenmäki,60.2065989,24.8807076
Pitäjänmäen teollisuusalue,60.2199616,24.8751167
Pohjois-Haaga,60.2256743,24.8908598
Lassila,60.2310266,24.8767216
Sörnäinen,60.1838848,24.9644087
Etu-Vallila,60.1922691,24.9531983
Itä-Pasila,60.1988245,24.9378669
Kallio,60.1839816,24.9524515
Vallila,60.1961671,24.9567103
Kulosaari,60.1853879,25.0096847
Käpylä,60.2156842,24.9527864
Länsi-Pakila,60.2435384,24.9269126
Paloheinä,60.2545308,24.9357391
Itä-Pakila,60.2453263,24.9597377
Tammisalo,60.1914529,25.0592919
Jollas,60.1630005,25.0741542
Pajamäki,60.2186219,24.8556245
Reimarla,60.2286886,24.8578493
Konala,60.2385504,24.8460646
Malminkartano,60.2493404,24.859959
Kannelmäki,60.2436076,24.8832893
Maununneva,60.2442434,24.8979551
Kaitalahti,60.1733858,25.0222548
Koskela,60.2187652,24.9682441
Metsälä Etelä-Oulunkylä,60.2216089,24.940277
Maunula Suursuo,60.23378835,24.933609879103116
Veräjämäki,60.22768815,24.97511747807589
Malmi,60.2507611,25.0085738
Pukinmäki Savela,60.2388889,24.9908178
Tapaninvainio,60.2586389,24.9906648
Viikki,60.225892,25.0222642
Herttoniemi,60.1955246,25.0290632
Laajasalo,60.1732049,25.0449197
Etelä-Laajasalo,60.1732049,25.0449197
Suomenlinna,60.1457064,24.9888603
Sörnäinen,60.1838848,24.9644087
Torpparinmäki,60.2617872,24.9537091
"Pihlajamäki, Helsinki",60.2354366,25.0076341
Tapanila,60.2624633,25.0285605
Siltamäki,60.2747497,24.9888187
Puistola,60.2760327,25.036777
Suurmetsä,60.2675853,25.061563
Jakomäki,60.2591712,25.0784439
Roihuvuori,60.2014675,25.0611467
Santahamina,60.1524761,25.049372
Itäsalmi,60.2605512,25.2099985
Puotinharju,60.2154391,25.086145740544886
Puotila,60.2102036,25.10303363234772
Myllypuro,60.2250101,25.0757494
Kontula,60.2359519,25.0836317
Vartioharju,60.2211252,25.1092565
Pohjois-Vuosaari,60.2204472,25.1398372
Mellunkylä,60.236520049999996,25.085810424463915
Aurinkolahti,60.2055374,25.15423
